Date,Adj Close,Open,High,Low,,
2016-01-24,126.96,123.45,126.96,121.64,,
2016-01-31,124.63,126.96,127.11,123.04,,
2016-02-07,124.07,124.63,124.86,120.63,,
2016-02-14,127.03,121.73,127.66,121.73,,
2016-02-21,128.07,127.03,129.4,125.2,,
2016-02-28,131.57,128.07,131.97,127.13,,
2016-03-06,133.22,131.57,133.28,130.41,,
2016-03-13,134.93,133.22,135.2,131.95,,
2016-03-20,133.97,134.93,135.19,133.03,,
2016-03-27,135.67,133.97,135.98,133.35,,
2016-04-03,134.22,135.67,135.67,133.19,,
2016-04-10,136.02,134.22,136.35,133.88,,
2016-04-17,136.55,136.02,137.99,135.55,,
2016-04-24,135.82,136.55,137.81,135.03,,
2016-05-01,135.3,135.82,136.84,134.19,,
2016-05-08,134.75,135.3,136.81,134.5,,
2016-05-15,134.55,134.75,136.24,132.95,,
2016-05-22,137.37,134.55,137.37,134.17,,
2016-05-29,137.79,136.86,137.99,136.52,,
2016-06-05,138.15,137.79,139.27,137.7,,
2016-06-12,137.16,138.15,138.15,135.48,,
2016-06-19,135.51,137.16,139.91,135.16,,
2016-06-26,139.95,135.51,140.1,132.95,,
2016-07-03,141.23,139.88,141.35,137.98,,
2016-07-10,143.49,141.23,143.91,141.23,,
2016-07-17,144.1,143.49,144.1,143.03,,
2016-07-24,143.04,144.1,144.1,142.06,,
2016-07-31,142.76,143.04,143.05,141.19,,
2016-08-07,142.59,142.76,142.98,141.88,,
2016-08-14,142.36,142.59,143.19,141.38,,
2016-08-21,141.56,142.36,143.05,141.12,,
2016-08-28,142.61,141.56,142.84,141.06,,
2016-09-04,139.36,141.93,143.11,139.36,,
2016-09-11,139.43,139.36,141.57,138.29,,
2016-09-18,141.08,139.43,141.97,139.35,,
2016-09-25,141.1,141.08,141.54,139.55,,
2016-10-02,140.08,141.1,141.1,139.21,,
2016-10-09,138.64,140.08,140.98,137.6,,
2016-10-16,138.49,138.64,139.28,138.05,,
2016-10-23,138.77,138.49,139.7,138.31,,
2016-10-30,136.46,138.77,139.41,136.46,,
2016-11-06,141.97,136.46,142.68,136.46,,
2016-11-13,142.85,141.97,143.2,141.73,,
2016-11-20,145.08,142.85,145.08,142.85,,
2016-11-27,144.06,145.08,145.08,143.73,,
2016-12-04,148.41,144.06,148.44,144.06,,
2016-12-11,148.86,148.41,149.84,147.75,,
2016-12-18,149.5,148.86,149.9,148.81,,
2016-12-25,148.09,149.37,149.89,147.79,,
2017-01-01,148.98,148.64,149.72,147.79,,
2017-01-08,148.09,148.98,148.98,146.98,,
2017-01-15,147.93,147.9,148.39,146.94,,
2017-01-22,149.07,147.93,149.45,146.92,,
2017-01-29,148.63,149.07,149.07,146.88,,
